player,nationality,position,team,age,sca,sca_per90,gca,gca_per90
Matthijs de Ligt,nlNED,DF,Manchester Utd,25-242,14,0.60,1,0.04
Pedro Lima,brBRA,DF,Wolves,18-284,4,5.14,0,0.00
Victor Lindelöf,seSWE,DF,Manchester Utd,30-268,4,1.30,0,0.00
Jesper Lindstrøm,dkDEN,FW,Everton,25-041,46,3.35,1,0.07
Valentino Livramento,engENG,DF,Newcastle Utd,22-150,32,1.36,1,0.04
Sean Longstaff,engENG,MF,Newcastle Utd,27-163,14,1.63,2,0.23
Saša Lukić,rsSRB,MF,Fulham,28-241,44,2.11,2,0.10
Joe Lumley,engENG,GK,Southampton,30-055,0,0.00,0,0.00
Massimo Luongo,auAUS,MF,Ipswich Town,32-198,0,0.00,0,0.00
Ian Maatsen,nlNED,DF,Aston Villa,23-032,44,5.59,7,0.89
Alexis Mac Allister,arARG,MF,Liverpool,26-108,104,4.09,12,0.47
James Maddison,engENG,MF,Tottenham,28-139,86,4.59,17,0.91
Noni Madueke,engENG,FW,Chelsea,23-032,62,3.64,8,0.47
Gabriel Magalhães,brBRA,DF,Arsenal,27-113,35,1.33,6,0.23
Edmond-Paris Maghoma,engENG,"MF,FW",Brentford,23-338,4,3.03,1,0.76
Harry Maguire,engENG,DF,Manchester Utd,32-037,15,0.95,0,0.00
Kobbie Mainoo,engENG,MF,Manchester Utd,19-357,25,1.75,1,0.07
Tyrell Malacia,nlNED,DF,Manchester Utd,25-237,2,1.80,0,0.00
Donyell Malen,nlNED,FW,Aston Villa,26-092,3,1.15,0,0.00
Orel Mangala,beBEL,MF,Everton,27-024,24,1.72,1,0.07
Ryan Manning,ieIRL,DF,Southampton,28-301,35,2.83,1,0.08
Solly March,engENG,"MF,FW",Brighton,30-265,3,4.58,1,1.53
Omar Marmoush,egEGY,"FW,MF",Manchester City,26-063,24,3.30,1,0.14
Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-297,57,3.01,5,0.26
Emiliano Martínez,arARG,GK,Aston Villa,32-221,5,0.17,1,0.03
Lisandro Martínez,arARG,DF,Manchester Utd,27-083,26,1.34,2,0.10
Pape Matar Sarr,snSEN,MF,Tottenham,22-209,37,2.29,6,0.37
Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-287,51,2.03,7,0.28
Stephy Mavididi,engENG,FW,Leicester City,26-315,46,2.87,7,0.44
Konstantinos Mavropanos,grGRE,DF,West Ham,27-121,14,0.72,0,0.00
Noussair Mazraoui,maMAR,DF,Manchester Utd,27-148,45,1.69,1,0.04
Bryan Mbeumo,cmCMR,FW,Brentford,25-247,117,3.78,15,0.48
James Mcatee,engENG,"MF,FW",Manchester City,22-175,1,0.63,0,0.00
Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-140,12,2.73,1,0.23
Alex McCarthy,engENG,GK,Southampton,35-129,0,0.00,0,0.00
John McGinn,sctSCO,"MF,FW",Aston Villa,30-175,62,2.96,6,0.29
Dwight McNeil,engENG,"MF,FW",Everton,25-140,60,4.72,6,0.47
Scott McTominay,sctSCO,MF,Manchester Utd,28-124,1,4.74,0,0.00
Ben Mee,engENG,DF,Brentford,35-202,0,0.00,0,0.00
Jayden Meghoma,engENG,DF,Brentford,18-287,0,0.00,0,0.00
Mikel Merino,esESP,"MF,FW",Arsenal,28-293,38,2.57,3,0.20
Shumaira Mheuka,engENG,MF,Chelsea,17-173,0,0.00,0,0.00
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-181,18,0.60,3,0.10
Lewis Miley,engENG,MF,Newcastle Utd,18-345,3,1.23,0,0.00
James Milner,engENG,MF,Brighton,39-097,8,4.26,0,0.00
Tyrone Mings,engENG,DF,Aston Villa,32-029,15,1.55,1,0.10
Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-263,45,3.04,9,0.61
Tyrick Mitchell,engENG,DF,Crystal Palace,25-222,61,2.18,5,0.18
