player,nationality,position,team,age,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,progressive_passes_received
Jonny Evans,nirNIR,DF,Manchester Utd,37-098,223,30,125,91,11,2,1,100.0,0.0,128,183,1,0,0,1,0,2
Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-286,1200,13,155,563,511,78,119,47.1,47.9,722,2072,62,41,20,42,40,135
Łukasz Fabiański,plPOL,GK,West Ham,39-358,488,382,483,5,0,0,2,100.0,0.0,258,845,0,0,0,0,0,0
Wout Faes,beBEL,DF,Leicester City,27-008,1531,246,744,730,65,26,5,80.0,20.0,873,2433,11,12,2,15,5,1
Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-034,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,60
João Félix,ptPOR,"FW,MF",Chelsea,25-152,272,2,26,128,125,30,31,32.3,45.2,193,712,21,13,5,6,4,30
Evan Ferguson,ieIRL,FW,West Ham,20-174,61,1,6,26,29,10,5,60.0,40.0,31,41,1,1,1,8,5,6
Evan Ferguson,ieIRL,FW,Brighton,20-174,88,7,13,50,26,9,2,50.0,50.0,42,56,2,1,2,5,6,9
Bruno Fernandes,ptPOR,MF,Manchester Utd,30-215,2187,53,364,1034,811,68,61,41.0,49.2,1283,3139,60,53,10,35,35,112
Mateus Fernandes,ptPOR,MF,Southampton,20-275,1427,50,300,706,452,43,90,47.8,44.4,737,2546,65,55,8,42,29,91
Enzo Fernández,arARG,MF,Chelsea,24-084,1822,31,288,933,613,68,43,48.8,34.9,981,2188,47,46,7,25,26,93
Mark Flekken,nlNED,GK,Brentford,31-302,1515,1184,1471,49,0,0,1,100.0,0.0,928,2666,0,0,0,2,0,0
Phil Foden,engENG,"MF,FW",Manchester City,24-318,1074,13,81,374,628,79,39,33.3,53.8,676,1674,47,30,15,35,30,119
Wesley Fofana,frFRA,DF,Chelsea,24-115,933,81,370,523,55,10,15,53.3,20.0,557,1614,19,12,1,16,5,4
Carlos Forbs,ptPOR,"MF,FW",Wolves,21-023,117,3,20,38,60,13,12,58.3,41.7,72,297,9,3,8,7,4,28
Fraser Forster,engENG,GK,Tottenham,37-025,228,212,228,0,0,0,1,100.0,0.0,113,264,0,0,0,1,0,0
Matheus França,brBRA,"MF,DF",Crystal Palace,21-010,8,0,0,3,5,2,0,N/a,N/a,7,15,1,0,1,1,0,1
Ryan Fraser,sctSCO,"FW,DF",Southampton,31-046,131,12,45,50,37,3,3,66.7,33.3,74,252,10,5,2,4,2,18
Niclas Füllkrug,deGER,FW,West Ham,32-061,152,10,13,77,62,24,4,25.0,75.0,55,110,4,2,2,11,3,15
Cody Gakpo,nlNED,FW,Liverpool,25-339,685,20,64,201,434,79,47,57.4,31.9,457,1601,40,25,18,34,17,216
Idrissa Gana Gueye,snSEN,MF,Everton,35-197,1425,63,350,803,278,19,35,48.6,45.7,663,1327,20,21,4,25,32,21
Andrés García,esESP,"DF,MF",Aston Villa,22-063,248,6,36,104,110,2,18,27.8,66.7,155,658,25,13,2,10,6,27
Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-284,948,13,110,308,546,139,74,28.4,62.2,691,2702,118,61,57,51,41,241
James Garner,engENG,"MF,DF",Everton,24-029,555,26,142,262,157,8,13,38.5,61.5,251,342,7,9,1,9,6,17
